CanonicalId,OntologyType,SourceId,SourceSystem
a6atew4y,Image,b29717425/FILE_0039_OBJECTS,mets-image
mu8pgf2e,Image,b2041898x/FILE_0450_OBJECTS,mets-image
x8ba9wu9,Work,1501572,sierra-system-number
g7mew5eg,Image,b20417329/FILE_0301_OBJECTS,mets-image
qsd2qkk5,Image,b28133675/FILE_0101_OBJECTS,mets-image
kbbk4kqr,Work,b2777479x,sierra-system-number
f2rk38z2,Image,b30416772/FILE_0028_OBJECTS,mets-image
umjewpex,Work,b19669458,sierra-system-number
ptfttss2,Image,b29330786/FILE_0345_OBJECTS,mets-image
uz5gmn3y,Image,b29299913/FILE_0628_OBJECTS,mets-image
x23dm6zb,Work,b2586631,sierra-system-number
guwq8bef,Image,b22488108/FILE_0209_OBJECTS,mets-image
gqv44g42,Image,b33090154/FILE_0172_OBJECTS,mets-image
szqkvf4g,Work,b1362493,sierra-system-number
u7f9cm4q,Image,b30332801/FILE_0217_OBJECTS,mets-image
we9ye52j,Image,b18032965/FILE_0533_OBJECTS,mets-image
vkbwykzm,Work,b22577178,sierra-system-number
bxfaxrtq,Image,b22658865/FILE_0129_OBJECTS,mets-image
mharrkud,Image,b19874601/FILE_0181_OBJECTS,mets-image
ak6tgek8,Concept,"bennett, john j. (john joseph), 1801-1876",label-derived
fbpj5g7t,Image,b22362484/FILE_0041_OBJECTS,mets-image
d2he9zdx,Subject,kasmir,label-derived
yn3cdd2x,Image,b30076365/FILE_0007_OBJECTS,mets-image
mm32ujuk,Image,b21531997/FILE_0291_OBJECTS,mets-image
nu9m2qas,Image,b1151341x/FILE_0104_OBJECTS,mets-image
h6u5uwh3,Image,b2932984x/FILE_0628_OBJECTS,mets-image
e75h3wsz,Image,b28924642/FILE_0008_OBJECTS,mets-image
rxdceumf,Work,ebs28845170e,ebsco-alt-lookup
jm3m4ec3,Image,b22297777/FILE_0078_OBJECTS,mets-image
e9bdxp7f,Work,PPEJW/A/1/6,calm-ref-no
x663yk5b,Image,b33013901/FILE_0105_OBJECTS,mets-image
vrxkrt5k,Image,b24963100/FILE_0205_OBJECTS,mets-image
schwevns,Image,b16233700/FILE_0008_OBJECTS,mets-image
ss6zvje2,Work,b24856861,sierra-system-number
vyknardg,Image,b14846275/FILE_0048_OBJECTS,mets-image
qp6cf34m,Image,b19681185/FILE_0006_OBJECTS,mets-image
umg8ua2n,Image,b30584206/FILE_0014_OBJECTS,mets-image
jum92gxp,Image,b24399619/FILE_0348_OBJECTS,mets-image
d9ryyzwz,Image,b20385407/FILE_0202_OBJECTS,mets-image
drwsturd,Work,b24680874,sierra-system-number
jdm4pw4v,Image,b2111495x/FILE_0169_OBJECTS,mets-image
mqc4r8n3,Image,b30238328/FILE_0030_OBJECTS,mets-image
jge7tttz,Image,b30414416/FILE_0287_OBJECTS,mets-image
s4r2gyqt,Image,b20201606/FILE_0084_OBJECTS,mets-image
xucut58p,Image,b21977938/FILE_0127_OBJECTS,mets-image
f7vswf4x,Image,b21032877/FILE_0223_OBJECTS,mets-image
x2jmarbh,Image,b28116689/FILE_0045_OBJECTS,mets-image
u8uxr8y4,Image,b30083722/FILE_0017_OBJECTS,mets-image
yzsur5ru,Image,b21919963/FILE_0301_OBJECTS,mets-image
h3uj5yzg,Image,b28762836/FILE_0261_OBJECTS,mets-image
